Pergeseran ke,Periode,Nilai,Tanggal
80,5Y,"Rp1,296.37",22 Mar 22
78,3M,"Rp1,460.60",2 Des 24
78,ALL,"Rp1,217.85",20 Jul 20
78,1M,"Rp1,468.03",7 Jan 25
78,3Y,"Rp1,350.34",2 Mei 23
78,YTD,"Rp1,468.66",10 Jan 25
81,5Y,"Rp1,296.68",4 Apr 22
79,3M,"Rp1,460.80",4 Des 24
79,ALL,"Rp1,221.39",5 Agt 20
79,1M,"Rp1,468.03",7 Jan 25
79,3Y,"Rp1,351.09",8 Mei 23
79,YTD,"Rp1,468.66",10 Jan 25
82,5Y,"Rp1,297.35",12 Apr 22
80,3M,"Rp1,460.80",4 Des 24
80,ALL,"Rp1,225.01",24 Agt 20
80,1M,"Rp1,468.03",7 Jan 25
80,3Y,"Rp1,351.80",12 Mei 23
80,YTD,"Rp1,468.66",10 Jan 25
83,5Y,"Rp1,298.52",22 Apr 22
81,3M,"Rp1,460.80",4 Des 24
81,ALL,"Rp1,227.50",7 Sep 20
81,1M,"Rp1,468.03",7 Jan 25
81,3Y,"Rp1,352.94",19 Mei 23
81,YTD,"Rp1,468.66",10 Jan 25
84,5Y,"Rp1,300.02",9 Mei 22
82,3M,"Rp1,460.80",4 Des 24
82,ALL,"Rp1,230.54",23 Sep 20
82,1M,"Rp1,468.03",7 Jan 25
82,3Y,"Rp1,354.09",25 Mei 23
82,YTD,"Rp1,469.33",13 Jan 25
85,5Y,"Rp1,300.10",13 Mei 22
83,ALL,"Rp1,233.25",9 Okt 20
83,3M,"Rp1,460.97",5 Des 24
83,1M,"Rp1,468.03",7 Jan 25
83,3Y,"Rp1,354.42",31 Mei 23
83,YTD,"Rp1,469.33",13 Jan 25
86,5Y,"Rp1,301.23",24 Mei 22
84,ALL,"Rp1,236.20",26 Okt 20
84,3M,"Rp1,460.97",5 Des 24
84,1M,"Rp1,468.34",8 Jan 25
84,3Y,"Rp1,355.51",6 Jun 23
84,YTD,"Rp1,469.33",13 Jan 25
87,5Y,"Rp1,302.25",3 Jun 22
85,ALL,"Rp1,238.79",11 Nov 20
85,3M,"Rp1,461.05",6 Des 24
85,1M,"Rp1,468.34",8 Jan 25
85,3Y,"Rp1,356.60",12 Jun 23
85,YTD,"Rp1,469.33",13 Jan 25
88,5Y,"Rp1,303.71",14 Jun 22
86,ALL,"Rp1,241.57",27 Nov 20
86,3M,"Rp1,461.05",6 Des 24
86,1M,"Rp1,468.34",8 Jan 25
86,YTD,"Rp1,469.33",13 Jan 25
86,3Y,"Rp1,357.88",19 Jun 23
89,5Y,"Rp1,305.27",24 Jun 22
87,ALL,"Rp1,244.82",14 Des 20
87,3M,"Rp1,461.52",9 Des 24
87,1M,"Rp1,468.34",8 Jan 25
87,3Y,"Rp1,358.87",26 Jun 23
87,YTD,"Rp1,469.33",13 Jan 25
90,5Y,"Rp1,306.44",5 Jul 22
88,ALL,"Rp1,246.49",30 Des 20
88,3M,"Rp1,461.52",9 Des 24
88,1M,"Rp1,468.34",8 Jan 25
88,3Y,"Rp1,360.14",3 Jul 23
88,YTD,"Rp1,469.33",13 Jan 25
91,5Y,"Rp1,307.12",15 Jul 22
89,3M,"Rp1,461.52",9 Des 24
89,ALL,"Rp1,248.51",15 Jan 21
89,1M,"Rp1,468.34",8 Jan 25
89,3Y,"Rp1,361.28",10 Jul 23
89,YTD,"Rp1,469.33",13 Jan 25
92,5Y,"Rp1,307.86",26 Jul 22
90,3M,"Rp1,461.52",9 Des 24
90,ALL,"Rp1,251.02",1 Feb 21
90,1M,"Rp1,468.66",10 Jan 25
90,3Y,"Rp1,362.03",14 Jul 23
90,YTD,"Rp1,469.33",13 Jan 25
93,5Y,"Rp1,310.82",5 Agt 22
91,ALL,"Rp1,253.57",17 Feb 21
91,3M,"Rp1,461.52",9 Des 24
91,1M,"Rp1,468.66",10 Jan 25
91,3Y,"Rp1,363.07",20 Jul 23
91,YTD,"Rp1,469.33",13 Jan 25
94,5Y,"Rp1,313.21",16 Agt 22
92,ALL,"Rp1,255.85",5 Mar 21
92,3M,"Rp1,461.52",9 Des 24
92,1M,"Rp1,468.66",10 Jan 25
92,3Y,"Rp1,364.16",26 Jul 23
92,YTD,"Rp1,469.33",13 Jan 25
95,5Y,"Rp1,312.31",26 Agt 22
93,3M,"Rp1,461.71",10 Des 24
93,ALL,"Rp1,258.23",22 Mar 21
93,1M,"Rp1,468.66",10 Jan 25
93,3Y,"Rp1,365.13",2 Agt 23
93,YTD,"Rp1,469.33",13 Jan 25
96,5Y,"Rp1,313.80",6 Sep 22
94,3M,"Rp1,461.86",11 Des 24
94,ALL,"Rp1,260.26",7 Apr 21
94,1M,"Rp1,468.66",10 Jan 25
94,YTD,"Rp1,469.33",13 Jan 25
94,3Y,"Rp1,365.56",8 Agt 23
97,5Y,"Rp1,314.96",16 Sep 22
95,3M,"Rp1,461.86",11 Des 24
95,ALL,"Rp1,262.17",23 Apr 21
95,1M,"Rp1,468.66",10 Jan 25
95,YTD,"Rp1,469.33",13 Jan 25
95,3Y,"Rp1,366.69",14 Agt 23
98,5Y,"Rp1,316.30",27 Sep 22
