Date,Open,High,Low,Close,Adj Close,Volume
1998-07-10,470.11,470.11,461.03,463.58,463.56,"1,520,000"
1998-07-13,464.02,464.64,456.09,459.67,459.66,"1,752,900"
1998-07-14,460.28,464.51,460.28,463.87,463.86,"2,869,700"
1998-07-15,464.35,472.26,464.35,467.34,467.32,"4,634,500"
1998-07-16,471.46,475.38,470.80,473.77,473.75,"4,322,800"
1998-07-17,474.30,486.23,474.30,486.23,486.22,"5,704,600"
1998-07-20,486.25,488.68,476.26,488.68,488.67,"3,541,200"
1998-07-21,488.42,489.14,484.14,488.24,488.22,"3,122,900"
1998-07-22,489.20,492.22,480.65,483.05,483.04,"3,954,400"
1998-07-23,482.54,484.10,471.20,473.80,473.79,"2,496,000"
1998-07-24,473.98,479.56,470.50,479.56,479.54,"2,473,900"
1998-07-27,479.71,482.98,478.18,482.98,482.96,"1,544,200"
1998-07-28,482.82,486.78,481.62,483.53,483.51,"3,138,900"
1998-07-29,483.75,487.07,481.73,485.10,485.08,"2,309,300"
1998-07-30,485.25,485.25,480.01,482.69,482.67,"3,223,700"
1998-07-31,482.93,486.14,479.50,481.72,481.70,"2,170,000"
1998-08-03,481.79,482.34,472.55,475.26,475.24,"1,319,300"
1998-08-04,475.26,475.26,457.82,461.35,461.33,"1,525,200"
1998-08-05,461.35,461.35,439.73,441.78,441.77,"1,609,400"
1998-08-06,441.79,446.66,432.70,433.83,433.82,"1,435,400"
1998-08-07,434.17,434.17,422.37,423.61,423.60,"2,650,200"
1998-08-10,423.61,423.88,418.24,421.17,421.15,"1,502,200"
1998-08-11,421.17,421.17,405.21,407.06,407.05,"2,466,100"
1998-08-12,406.89,412.17,402.23,408.64,408.62,"2,470,000"
1998-08-13,408.91,413.39,401.27,402.94,402.93,"2,491,600"
1998-08-14,402.94,414.71,400.72,414.63,414.61,"4,934,300"
1998-08-18,414.98,416.26,402.20,403.86,403.84,"2,167,700"
1998-08-19,404.84,409.04,402.30,405.89,405.87,"2,400,400"
1998-08-20,406.27,406.27,394.45,399.33,399.31,"2,315,300"
1998-08-21,399.08,399.08,387.06,388.35,388.33,"2,069,900"
1998-08-24,386.89,386.89,368.48,370.55,370.53,"1,493,700"
1998-08-25,370.90,374.16,363.16,367.14,367.13,"2,472,500"
1998-08-26,367.29,371.99,360.56,360.93,360.91,"1,563,900"
1998-08-27,360.45,361.57,351.82,354.95,354.93,"1,248,100"
1998-08-28,354.10,354.10,337.02,339.02,339.01,"2,248,800"
1998-08-31,337.57,342.44,323.24,342.44,342.42,"2,431,000"
1998-09-01,342.08,342.08,324.30,325.85,325.84,"1,674,700"
1998-09-02,330.42,334.56,327.69,329.63,329.61,"2,794,600"
1998-09-03,329.48,336.19,328.66,334.79,334.77,"2,128,100"
1998-09-04,331.96,333.01,322.15,325.56,325.54,"4,512,200"
1998-09-07,325.99,336.29,325.99,335.81,335.80,"1,849,300"
1998-09-08,335.65,339.45,328.80,330.41,330.40,"1,985,200"
1998-09-09,333.31,333.31,320.79,325.76,325.75,"1,684,500"
1998-09-10,325.54,328.67,322.93,327.27,327.26,"2,157,300"
1998-09-11,325.20,326.68,319.80,324.04,324.03,"1,448,900"
1998-09-14,324.30,326.28,316.51,320.60,320.58,"1,827,800"
1998-09-15,320.56,322.21,291.51,292.15,292.14,"3,116,900"
1998-09-16,293.20,299.80,285.93,290.92,290.90,"2,767,300"
1998-09-17,290.99,293.10,283.15,285.48,285.46,"1,655,800"
1998-09-18,284.92,284.92,268.40,271.67,271.66,"1,679,200"
1998-09-21,271.67,273.55,255.46,256.83,256.82,"1,705,200"
1998-09-22,257.52,261.98,255.57,260.88,260.87,"1,433,400"
1998-09-23,262.05,266.29,259.07,262.25,262.24,"3,106,800"
1998-09-24,262.25,282.16,262.25,282.16,282.15,"3,255,200"
1998-09-25,278.89,278.89,269.76,275.22,275.21,"3,082,200"
1998-09-28,275.34,278.57,272.88,275.00,274.99,"2,942,400"
1998-09-29,274.44,276.57,272.42,276.01,276.00,"2,956,700"
1998-09-30,276.07,278.95,273.56,276.15,276.14,"1,577,300"
1998-10-01,276.59,276.83,272.19,273.87,273.86,"1,379,000"
1998-10-02,273.94,273.94,260.91,263.23,263.22,"1,295,300"
1998-10-05,264.88,268.23,259.61,261.31,261.30,"1,081,200"
1998-10-06,261.31,261.31,255.97,258.11,258.10,"2,823,500"
1998-10-07,258.18,267.83,258.18,266.17,266.16,"1,308,800"
1998-10-08,265.48,290.02,265.48,288.55,288.54,"3,581,500"
1998-10-09,288.57,311.96,288.57,304.84,304.83,"5,262,500"
1998-10-12,304.89,312.01,304.89,307.42,307.41,"2,390,800"
1998-10-13,309.00,313.99,306.79,313.99,313.97,"1,978,200"
1998-10-14,311.97,311.97,301.21,303.19,303.18,"1,770,300"
1998-10-15,303.38,307.25,303.09,304.85,304.84,"1,127,700"
1998-10-16,311.49,337.59,311.49,337.59,337.57,"3,849,500"
1998-10-19,338.14,351.13,331.08,336.42,336.40,"3,488,000"
1998-10-20,339.20,340.83,327.70,336.58,336.56,"2,416,300"
1998-10-21,337.43,337.43,321.62,322.32,322.31,"3,357,400"
1998-10-22,322.32,324.45,316.80,316.80,316.78,"2,048,900"
1998-10-23,316.80,317.12,308.98,313.42,313.40,"1,678,400"
1998-10-26,312.86,315.31,310.79,315.31,315.30,"2,260,600"
1998-10-27,315.38,318.99,313.40,318.10,318.09,"1,341,300"
1998-10-28,318.17,322.41,310.64,312.29,312.28,"2,732,100"
1998-10-29,312.45,312.45,304.11,309.41,309.40,"1,162,600"
1998-10-30,310.05,310.93,299.87,300.77,300.76,"2,434,200"
1998-11-02,301.20,308.37,301.20,307.20,307.19,"1,589,900"
1998-11-03,310.53,319.08,310.53,317.18,317.17,"2,352,000"
1998-11-04,317.26,330.56,316.87,330.46,330.45,"3,051,000"
1998-11-05,335.38,371.43,335.38,355.53,355.51,"5,653,600"
1998-11-06,358.13,363.62,349.15,353.98,353.96,"3,268,100"
1998-11-09,353.48,373.57,353.48,364.39,364.38,"3,756,400"
1998-11-10,364.30,365.22,355.00,357.30,357.29,"2,046,300"
1998-11-11,357.30,363.62,354.98,363.01,362.99,"6,094,200"
1998-11-12,363.01,371.81,355.06,357.98,357.96,"4,391,200"
1998-11-13,357.98,359.49,354.55,355.54,355.53,"2,642,400"
1998-11-16,355.54,360.65,353.07,356.23,356.21,"1,033,400"
1998-11-18,356.64,372.18,356.64,369.99,369.98,"4,905,300"
1998-11-19,370.13,379.12,370.13,379.12,379.10,"3,445,600"
1998-11-20,381.32,403.65,381.32,403.65,403.64,"5,812,900"
1998-11-23,403.64,427.43,403.64,424.99,424.97,"8,618,100"
1998-11-24,425.00,436.79,417.66,420.08,420.06,"13,744,800"
1998-11-25,419.35,419.35,386.01,387.38,387.37,"6,027,500"
1998-11-26,387.38,398.05,385.02,394.68,394.66,"5,145,300"
1998-11-27,395.11,395.34,388.42,392.32,392.30,"3,645,000"
1998-11-30,392.32,395.62,385.92,386.27,386.26,"2,493,500"
1998-12-01,385.92,387.73,373.99,387.73,387.72,"4,152,400"
1998-12-02,387.73,399.60,387.73,396.96,396.95,"2,913,100"
1998-12-03,395.90,397.36,391.15,393.80,393.78,"2,290,100"
1998-12-04,393.26,393.26,388.11,390.39,390.38,"2,314,700"
1998-12-07,390.91,400.61,390.91,399.46,399.44,"2,528,800"
1998-12-08,399.48,402.62,398.12,398.90,398.89,"2,675,500"
1998-12-09,400.19,402.45,396.36,398.78,398.77,"1,480,600"
